matrix_name,matrix_size,nnz,solver,tolerance,max_iters,rhs,precision,prec,prec_kv,prec_label,construction_time,is_converged,iters,true_relres_2,final_relres_2,final_relerr_2,final_relerr_A,solve_time,solve_status,condition_number
HB/bcsstk04,132,3648,cg,1e-12,264,ones,dd,none,,CG (DD),0.0,0,264.0,3.490376e-07,3.490376e-07,0.000273387,4.066059e-06,0.054,max_iterations,5609375.60457121
HB/bcsstk05,153,2423,cg,1e-12,306,ones,dd,none,,CG (DD),0.0,1,256.0,2.719859e-13,2.719859e-13,3.110377e-14,2.0794e-13,0.039,reached_tol,35319.3769770374
HB/bcsstk06,420,7860,cg,1e-12,840,ones,dd,none,,CG (DD),0.0,0,840.0,2.532784e-06,2.532784e-06,0.1499199,0.0001718642,0.391,max_iterations,12247856.5708119
HB/bcsstk07,420,7860,cg,1e-12,840,ones,dd,none,,CG (DD),0.0,0,840.0,2.532784e-06,2.532784e-06,0.1499199,0.0001718642,0.392,max_iterations,12162071.1985632
HB/bcsstk08,1074,12960,cg,1e-12,2148,ones,dd,none,,CG (DD),0.0,0,2148.0,2.201915e-08,2.201915e-08,0.0001350373,7.286005e-07,1.845,max_iterations,47262063.1979324
HB/bcsstk09,1083,18437,cg,1e-12,2166,ones,dd,none,,CG (DD),0.0,1,245.0,7.787913e-13,7.787913e-13,2.4758e-12,1.019333e-12,0.277,reached_tol,31017.3696259967
HB/bcsstk10,1086,22070,cg,1e-12,2172,ones,dd,none,,CG (DD),0.0,0,2172.0,1.395291e-07,1.395291e-07,9.451776e-05,1.554575e-06,2.823,max_iterations,1318823.90298071
HB/bcsstk11,1473,34241,cg,1e-12,2946,ones,dd,none,,CG (DD),0.0,0,2946.0,3.787553e-07,3.787553e-07,0.04756845,2.75854e-05,5.771,max_iterations,525024386.196771
HB/bcsstk12,1473,34241,cg,1e-12,2946,ones,dd,none,,CG (DD),0.0,0,2946.0,3.787553e-07,3.787553e-07,0.04756845,2.75854e-05,5.764,max_iterations,525024387.58949
HB/bcsstk13,2003,83883,cg,1e-12,4006,ones,dd,none,,CG (DD),0.0,0,4006.0,1.788684e-05,1.788684e-05,0.4283825,0.0004991217,17.834,max_iterations,45677053335.9629
HB/bcsstk14,1806,63454,cg,1e-12,3612,ones,dd,none,,CG (DD),0.0,0,3612.0,2.787219e-07,2.787219e-07,0.1487139,8.029521e-06,12.307,max_iterations,13100409789.5233
HB/bcsstk15,3948,117816,cg,1e-12,7896,ones,dd,none,,CG (DD),0.0,0,7896.0,8.625001e-09,8.625001e-09,0.03880117,3.223566e-06,51.103,max_iterations,7966070845.88229
HB/bcsstk16,4884,290378,cg,1e-12,9768,ones,dd,none,,CG (DD),0.0,1,535.0,9.017826e-13,9.017826e-13,1.412326e-12,1.158612e-12,7.958,reached_tol,7008379365.76916
HB/bcsstk17,10974,428650,cg,1e-12,21948,ones,dd,none,,CG (DD),0.0,1,21464.0,7.936544e-13,7.936544e-13,5.837441e-10,1.418233e-11,489.933,reached_tol,19534121273.7795
HB/bcsstk18,11948,149090,cg,1e-12,23896,ones,dd,none,,CG (DD),0.0,0,23896.0,4.576788e-08,4.576788e-08,0.2799385,1.063549e-05,232.008,max_iterations,648596439897.997
HB/bcsstk19,817,6853,cg,1e-12,1634,ones,dd,none,,CG (DD),0.0,0,1634.0,4.595834e-07,4.595834e-07,0.7706639,6.897136e-05,0.835,max_iterations,281349111943.787
HB/bcsstk20,485,3135,cg,1e-12,970,ones,dd,none,,CG (DD),0.0,0,970.0,6.278223e-08,6.278223e-08,0.7519662,3.122578e-05,0.253,max_iterations,7483377362392.46
HB/bcsstk21,3600,26600,cg,1e-12,7200,ones,dd,none,,CG (DD),0.0,0,7200.0,2.253191e-09,2.253191e-09,3.276223e-05,4.524858e-08,14.942,max_iterations,44970623.0838047
HB/bcsstk22,138,696,cg,1e-12,276,ones,dd,none,,CG (DD),0.0,0,276.0,4.265066e-12,4.265066e-12,4.822123e-10,3.682805e-11,0.018,max_iterations,166809.080813209
HB/bcsstk23,3134,45178,cg,1e-12,6268,ones,dd,none,,CG (DD),0.0,0,6268.0,2.792412e-08,2.792412e-08,0.614065,1.631602e-05,18.844,max_iterations,6935671021943.29
HB/bcsstk24,3562,159910,cg,1e-12,7124,ones,dd,none,,CG (DD),0.0,0,7124.0,6.523089e-07,6.523089e-07,0.5613994,7.35647e-05,60.159,max_iterations,637380867547.079
HB/bcsstk25,15439,252241,cg,1e-12,30878,ones,dd,none,,CG (DD),0.0,0,30878.0,1.003739e-07,1.003739e-07,0.5146113,4.606917e-05,477.286,max_iterations,12824709378641.3
HB/bcsstk26,1922,30336,cg,1e-12,3844,ones,dd,none,,CG (DD),0.0,0,3844.0,4.7996e-06,4.7996e-06,0.05856549,0.0001820974,7.164,max_iterations,439058176.536155
HB/bcsstk27,1224,56126,cg,1e-12,2448,ones,dd,none,,CG (DD),0.0,1,1274.0,9.509846e-13,9.509846e-13,7.87132e-11,5.474007e-12,3.734,reached_tol,77097.4765803986
HB/bcsstk28,4410,219024,cg,1e-12,8820,ones,dd,none,,CG (DD),0.0,0,8820.0,0.0001090237,0.0001090237,0.0370109,0.0005934931,100.288,max_iterations,6275235627.48691
Boeing/bcsstk34,588,21418,cg,1e-12,1176,ones,dd,none,,CG (DD),0.0,1,970.0,7.723941e-13,7.723941e-13,8.633997e-11,9.079132e-12,1.112,reached_tol,50899.5348799233
Boeing/bcsstk36,23052,1143140,cg,1e-12,46104,ones,dd,none,,CG (DD),0.0,0,46104.0,3.171164e-07,3.171164e-07,0.1072449,2.330884e-05,2743.676,max_iterations,1421259915008.75
Boeing/bcsstk38,8032,355460,cg,1e-12,16064,ones,dd,none,,CG (DD),0.0,0,16064.0,2.089409e-09,2.089409e-09,0.07178373,7.627854e-06,302.457,max_iterations,6.34310280145563e+16
HB/bcsstm07,420,7252,cg,1e-12,840,ones,dd,none,,CG (DD),0.0,1,366.0,6.755128e-13,6.755128e-13,6.14428e-11,4.850504e-12,0.161,reached_tol,13289.6171733045
HB/bcsstm12,1473,19659,cg,1e-12,2946,ones,dd,none,,CG (DD),0.0,1,2913.0,8.422631e-13,8.422631e-13,3.118629e-09,3.085927e-11,3.682,reached_tol,888455.263455732
GHS_indef/bloweybq,10001,69991,cg,1e-12,20002,ones,dd,none,,CG (DD),0.0,0,20002.0,3.375991e-09,3.375991e-09,0.9944327,1.076223e-05,111.518,max_iterations,4.17341607165e+18
Pothen/bodyy4,17546,121938,cg,1e-12,35092,ones,dd,none,,CG (DD),0.0,1,278.0,9.026508e-13,9.026508e-13,1.585563e-11,2.848021e-12,2.715,reached_tol,1016.77810991754
Pothen/bodyy5,18589,129281,cg,1e-12,37178,ones,dd,none,,CG (DD),0.0,1,769.0,9.281977e-13,9.281977e-13,8.116811e-11,5.806071e-12,7.916,reached_tol,9975.20318548551
Pothen/bodyy6,19366,134748,cg,1e-12,38732,ones,dd,none,,CG (DD),0.0,1,2115.0,9.77864e-13,9.77864e-13,4.56392e-10,1.229608e-11,22.779,reached_tol,97989.1204252334
Lourakis/bundle1,10581,770901,cg,1e-12,21162,ones,dd,none,,CG (DD),0.0,1,218.0,4.456288e-13,4.456288e-13,7.262671e-12,3.352175e-12,8.642,reached_tol,13305.5359927494
TKK/cbuckle,13681,676515,cg,1e-12,27362,ones,dd,none,,CG (DD),0.0,1,6631.0,9.576972e-13,9.576972e-13,2.622533e-10,8.480496e-12,235.846,reached_tol,80855707.0688128
Boeing/crystm01,4875,105339,cg,1e-12,9750,ones,dd,none,,CG (DD),0.0,1,114.0,8.841438e-13,8.841438e-13,1.286218e-11,2.753604e-12,0.706,reached_tol,421.171399508223
Boeing/crystm02,13965,322905,cg,1e-12,27930,ones,dd,none,,CG (DD),0.0,1,132.0,9.093503e-13,9.093503e-13,1.305422e-11,2.339708e-12,2.516,reached_tol,448.911651855822
Boeing/crystm03,24696,583770,cg,1e-12,49392,ones,dd,none,,CG (DD),0.0,1,133.0,9.720733e-13,9.720733e-13,2.28246e-11,3.284929e-12,4.511,reached_tol,467.756327365152
GHS_psdef/cvxbqp1,50000,349968,cg,1e-12,100000,ones,dd,none,,CG (DD),0.0,1,8271.0,9.934055e-13,9.934055e-13,2.431703e-08,3.219222e-11,230.654,reached_tol,9373057.75524576
FIDAP/ex10,2410,54840,cg,1e-12,4820,ones,dd,none,,CG (DD),0.0,0,4820.0,2.408171e-08,2.408171e-08,0.2570597,1.158839e-05,15.246,max_iterations,2056900587116.03
